盛荟城,龙华 龙华中心,住宅,82㎡,龙华区龙澜大道与大浪南路交汇处,53500元
丹华公馆,南山 西丽,住宅,2022-09-28,西丽留仙洞总部基地,73000元
鸿荣源博誉府,龙华 红山,住宅,85㎡,龙华大道与民旺路交汇处,75800元
万科金域学府,龙岗 龙岗中心城,住宅,78㎡,回龙辅路与龙埔路交汇（近上角环北区）,46000元
香蜜湖高尔夫云居,福田 车公庙,住宅,48㎡,深南大道6007号,50000元
恒裕柏悦湾,南山 南山中心区,住宅,75㎡,长岭路与罗沙公路交汇处南侧,56000元
中晟会港湾,宝安 福永,公寓,34㎡,宝安大道6366号,48000元
金地明峰府,光明区 光明,住宅,81㎡,松白路与田园路交汇处东西两侧,45000元
桑泰龙樾,龙岗 龙岗中心城,住宅,68㎡,盐龙大道与仙田路交汇处东北侧,39000元
兴围华府,宝安 福永,住宅,66㎡,福永街道兴围中路旁,53000元
晗山悦海城,南山 蛇口,商住,37.68㎡,蛇口南海大道与工业八路交汇处,96000元
合正方洲,龙岗 龙岗中心城,住宅,60㎡,龙岗大道及吉祥南路交汇处（地铁3号线吉祥站A出口）,48000元
中熙珑湾,宝安 沙井,住宅,32㎡,沙井西环路与南环路交叉口西北侧,52800元
和城里,坪山 坪山,住宅,65㎡,龙坪路与金丰路交汇处东南角处,42000元
丁山河畔,龙岗 坪地,住宅,67㎡,坪地街道办龙岗大道与教育路交汇处,43000元
沙一珑庭,宝安 沙井,住宅,95㎡,沙井西环路与新沙路交汇处附近,56000元
宏发天汇城二期,光明区 光明,商住,67㎡,松白路与长春路交汇处,38000元
花润里,光明区 公明,住宅,84㎡,观光路与富民路交汇处,42000元
深业鹤塘岭花园,南山 华侨城,住宅,88㎡,金河路49号(世界之窗旁）,110000元
和昌拾里花都,龙岗 龙岗中心城,住宅,105㎡,龙岗大道与黄龙陂路交汇处,45000元
京基智农山海御园,宝安 西乡,住宅,95㎡,前海宝安大道铁仔山南门山海上园,68000元
太子湾艺城湾樽,南山 蛇口,公寓,310㎡,南山区港湾大道招商局蛇口展示中心旁,140000元
鸿荣源博誉府,龙华 红山,住宅,85㎡,龙华大道与民旺路交汇处,75800元
德弘天下华府,罗湖 翠竹,住宅,69㎡,文锦北路1058号(田贝三路与文锦路交汇处东侧),105000元
深业泰富广场,罗湖 笋岗,公寓,58.83㎡,梨园路与梅园路交汇处,62000元
恒裕柏悦湾,南山 南山中心区,公寓,36㎡,东滨路4317号,71000元
深业泰富广场,罗湖 笋岗,写字楼,1475㎡,梨园路与梅园路交汇处,53500元
汇德大厦,龙华 梅林关,公寓,65㎡,留仙大道与民塘路交汇处西南侧,57000元
兆鑫汇金广场,罗湖 东门,公寓,1800㎡,深南东路与建设路交汇处东南侧,65000元
笋岗中心,罗湖 笋岗,写字楼,2030㎡,宝安北路与梅园路交汇处东南,48000元
